,load,temp
2007-01-01 00:00:00,1048.3688,24.0
2007-01-01 01:00:00,974.552,23.2
2007-01-01 02:00:00,946.0908,23.4
2007-01-01 03:00:00,890.6499,22.6
2007-01-01 04:00:00,824.8973,22.4
2007-01-01 05:00:00,784.5056,22.0
2007-01-01 06:00:00,763.4991,23.0
2007-01-01 07:00:00,707.8501,25.0
2007-01-01 08:00:00,668.2881,27.4
2007-01-01 09:00:00,685.3779,30.0
2007-01-01 10:00:00,717.5168,31.0
2007-01-01 11:00:00,754.9149,31.6
2007-01-01 12:00:00,787.6584,33.2
2007-01-01 13:00:00,810.1741,34.2
2007-01-01 14:00:00,814.8882,34.8
2007-01-01 15:00:00,813.8262,35.0
2007-01-01 16:00:00,816.0823,35.6
2007-01-01 17:00:00,814.252,35.4
2007-01-01 18:00:00,816.0,33.8
2007-01-01 19:00:00,812.783,32.2
2007-01-01 20:00:00,804.6889,29.0
2007-01-01 21:00:00,836.1165,28.2
2007-01-01 22:00:00,1020.0527,28.8
2007-01-01 23:00:00,1096.4411,28.4
2007-01-02 00:00:00,1090.3911,27.4
2007-01-02 01:00:00,1031.1176,25.0
2007-01-02 02:00:00,954.8726,24.8
2007-01-02 03:00:00,892.1046,24.6
2007-01-02 04:00:00,854.6875,24.2
2007-01-02 05:00:00,844.4966,25.0
2007-01-02 06:00:00,855.2376,23.8
2007-01-02 07:00:00,861.6422,24.2
2007-01-02 08:00:00,885.0495,24.6
2007-01-02 09:00:00,965.9917,24.0
2007-01-02 10:00:00,1038.3661,23.8
2007-01-02 11:00:00,1082.3979,25.0
2007-01-02 12:00:00,1107.705,25.2
2007-01-02 13:00:00,1119.7596,25.0
2007-01-02 14:00:00,1129.2287,24.4
2007-01-02 15:00:00,1132.8597,24.6
2007-01-02 16:00:00,1123.3755,23.6
2007-01-02 17:00:00,1112.0892,23.4
2007-01-02 18:00:00,1086.2742,23.0
2007-01-02 19:00:00,1057.2804,23.0
2007-01-02 20:00:00,1027.632,23.0
2007-01-02 21:00:00,1059.9011,23.0
2007-01-02 22:00:00,1194.4755,23.0
2007-01-02 23:00:00,1194.3723,23.0
2007-01-03 00:00:00,1134.495,23.0
2007-01-03 01:00:00,1040.1735,23.1
2007-01-03 02:00:00,950.9519,23.3
2007-01-03 03:00:00,890.6111,23.5
2007-01-03 04:00:00,861.5679,22.7
2007-01-03 05:00:00,840.4774,22.6
2007-01-03 06:00:00,853.9125,22.8
2007-01-03 07:00:00,872.4824,23.6
2007-01-03 08:00:00,886.0894,23.4
2007-01-03 09:00:00,962.0451,23.6
2007-01-03 10:00:00,1033.5691,24.0
2007-01-03 11:00:00,1077.7819,24.4
2007-01-03 12:00:00,1109.9468,25.0
2007-01-03 13:00:00,1124.6324,27.2
2007-01-03 14:00:00,1135.338,26.0
2007-01-03 15:00:00,1132.3271,25.2
2007-01-03 16:00:00,1128.3973,24.8
2007-01-03 17:00:00,1115.3327,24.2
2007-01-03 18:00:00,1097.6957,23.6
2007-01-03 19:00:00,1062.021,23.4
2007-01-03 20:00:00,1031.4116,23.4
2007-01-03 21:00:00,1062.4371,22.7
2007-01-03 22:00:00,1201.8434,23.0
2007-01-03 23:00:00,1215.3684,23.6
2007-01-04 00:00:00,1155.1757,23.4
2007-01-04 01:00:00,1054.9416,23.4
2007-01-04 02:00:00,960.2645,23.4
2007-01-04 03:00:00,898.9299,23.2
2007-01-04 04:00:00,868.2224,23.2
2007-01-04 05:00:00,853.6360000000001,23.2
2007-01-04 06:00:00,863.3962,24.0
2007-01-04 07:00:00,879.5969,24.0
2007-01-04 08:00:00,903.0256,25.4
2007-01-04 09:00:00,976.3472,25.6
2007-01-04 10:00:00,1045.4808,26.4
2007-01-04 11:00:00,1088.7,26.8
2007-01-04 12:00:00,1117.6849,27.0
2007-01-04 13:00:00,1140.6282,27.4
2007-01-04 14:00:00,1158.7293,27.2
2007-01-04 15:00:00,1153.1887,27.0
2007-01-04 16:00:00,1146.6604,26.6
2007-01-04 17:00:00,1132.7945,25.4
2007-01-04 18:00:00,1113.9324,25.0
2007-01-04 19:00:00,1077.9891,23.4
2007-01-04 20:00:00,1045.4739,23.6
2007-01-04 21:00:00,1081.2839999999999,23.4
2007-01-04 22:00:00,1231.7719,23.2
2007-01-04 23:00:00,1235.8254,23.0
2007-01-05 00:00:00,1170.7485,22.8
2007-01-05 01:00:00,1072.3793,22.8
2007-01-05 02:00:00,977.8202,22.6
2007-01-05 03:00:00,913.4189,22.8
2007-01-05 04:00:00,876.7926,22.6
2007-01-05 05:00:00,867.4185,22.8
2007-01-05 06:00:00,880.31,21.4
2007-01-05 07:00:00,896.5515,21.6
2007-01-05 08:00:00,915.3548,21.4
2007-01-05 09:00:00,973.4992,21.4
2007-01-05 10:00:00,1019.1656,22.2
2007-01-05 11:00:00,1051.4707,22.8
2007-01-05 12:00:00,1076.3661,23.2
2007-01-05 13:00:00,1081.644,23.4
2007-01-05 14:00:00,1077.3454,23.6
2007-01-05 15:00:00,1069.9841,24.0
2007-01-05 16:00:00,1059.973,22.6
2007-01-05 17:00:00,1044.7303,21.2
2007-01-05 18:00:00,1029.4577,21.2
2007-01-05 19:00:00,999.7719,20.8
2007-01-05 20:00:00,980.9443,20.6
2007-01-05 21:00:00,1008.1846,20.4
2007-01-05 22:00:00,1145.1618,20.2
2007-01-05 23:00:00,1149.9042,20.4
2007-01-06 00:00:00,1096.2338,20.2
2007-01-06 01:00:00,1008.6936,20.0
2007-01-06 02:00:00,916.8919999999999,20.0
2007-01-06 03:00:00,850.8444,19.6
2007-01-06 04:00:00,811.5444,19.4
2007-01-06 05:00:00,795.193,19.2
2007-01-06 06:00:00,793.6905,19.4
2007-01-06 07:00:00,771.8771,22.4
2007-01-06 08:00:00,757.801,21.0
2007-01-06 09:00:00,795.5215,21.4
2007-01-06 10:00:00,838.5221,20.8
2007-01-06 11:00:00,867.1329,21.6
